date,freq,variable,value
1951-07-01,m,BLUU,112.0
1951-08-01,m,BBFW,73.0
1951-08-01,m,BLUU,165.0
1951-09-01,m,BBFW,113.0
1951-09-01,m,BLUU,177.0
1951-10-01,m,BBFW,113.0
1951-10-01,m,BLUU,212.0
1951-11-01,m,BBFW,93.0
1951-11-01,m,BLUU,150.0
1951-12-01,m,BBFW,40.0
1951-12-01,m,BLUU,81.0
1952-01-01,a,BBFW,1792.0
1952-01-01,m,BBFW,81.0
1952-01-01,m,BLUU,123.0
1952-02-01,m,BBFW,75.0
1952-02-01,m,BLUU,156.0
1952-03-01,m,BBFW,288.0
1952-03-01,m,BLUU,162.0
1952-04-01,m,BBFW,77.0
1952-04-01,m,BLUU,164.0
1952-05-01,m,BBFW,173.0
1952-05-01,m,BLUU,202.0
1952-06-01,m,BBFW,203.0
1952-06-01,m,BLUU,180.0
1952-07-01,m,BBFW,272.0
1952-07-01,m,BLUU,140.0
1952-08-01,m,BBFW,167.0
1952-08-01,m,BLUU,175.0
1952-09-01,m,BBFW,104.0
1952-09-01,m,BLUU,179.0
1952-10-01,m,BBFW,95.0
1952-10-01,m,BLUU,173.0
1952-11-01,m,BBFW,122.0
1952-11-01,m,BLUU,158.0
1952-12-01,m,BBFW,135.0
1952-12-01,m,BLUU,101.0
1953-01-01,a,BBFW,2184.0
1953-01-01,m,BBFW,67.0
1953-01-01,m,BLUU,143.0
1953-02-01,m,BBFW,164.0
1953-02-01,m,BLUU,172.0
1953-03-01,m,BBFW,249.0
1953-03-01,m,BLUU,182.0
1953-04-01,m,BBFW,74.0
1953-04-01,m,BLUU,133.0
1953-05-01,m,BBFW,32.0
1953-05-01,m,BLUU,150.0
1953-06-01,m,BBFW,60.0
1953-06-01,m,BLUU,143.0
1953-07-01,m,BBFW,32.0
1953-07-01,m,BLUU,102.0
1953-08-01,m,BBFW,54.0
1953-08-01,m,BLUU,132.0
1953-09-01,m,BBFW,107.0
1953-09-01,m,BLUU,180.0
1953-10-01,m,BBFW,116.0
1953-10-01,m,BLUU,231.0
1953-11-01,m,BBFW,94.0
1953-11-01,m,BLUU,203.0
1953-12-01,m,BBFW,1134.0
1953-12-01,m,BLUU,138.0
1954-01-01,a,BBFW,2457.0
1954-01-01,m,BBFW,128.0
1954-01-01,m,BLUU,169.0
1954-02-01,m,BBFW,131.0
1954-02-01,m,BLUU,189.0
1954-03-01,m,BBFW,177.0
1954-03-01,m,BLUU,239.0
1954-04-01,m,BBFW,77.0
1954-04-01,m,BLUU,179.0
1954-05-01,m,BBFW,111.0
1954-05-01,m,BLUU,200.0
1954-06-01,m,BBFW,69.0
1954-06-01,m,BLUU,168.0
1954-07-01,m,BBFW,80.0
1954-07-01,m,BLUU,93.0
1954-08-01,m,BBFW,67.0
1954-08-01,m,BLUU,148.0
1954-09-01,m,BBFW,123.0
1954-09-01,m,BLUU,213.0
1954-10-01,m,BBFW,1112.0
1954-10-01,m,BLUU,227.0
1954-11-01,m,BBFW,302.0
1954-11-01,m,BLUU,197.0
1954-12-01,m,BBFW,81.0
1954-12-01,m,BLUU,142.0
1955-01-01,a,BBFW,3781.0
1955-01-01,m,BBFW,91.0
1955-01-01,m,BLUU,186.0
1955-02-01,m,BBFW,155.0
1955-02-01,m,BLUU,223.0
1955-03-01,m,BBFW,144.0
1955-03-01,m,BLUU,234.0
1955-04-01,m,BBFW,198.0
1955-04-01,m,BLUU,242.0
1955-05-01,m,BBFW,887.0
1955-05-01,m,BLUU,264.0
1955-06-01,m,BBFW,1333.0
1955-06-01,m,BLUU,160.0
1955-07-01,m,BBFW,90.0
1955-07-01,m,BLUU,110.0
1955-08-01,m,BBFW,74.0
1955-08-01,m,BLUU,231.0
1955-09-01,m,BBFW,224.0
1955-09-01,m,BLUU,279.0
1955-10-01,m,BBFW,187.0
1955-10-01,m,BLUU,288.0
1955-11-01,m,BBFW,285.0
1955-11-01,m,BLUU,276.0
1955-12-01,m,BBFW,114.0
1955-12-01,m,BLUU,141.0
1956-01-01,a,BBFW,2083.0
1956-01-01,m,BBFW,83.0
1956-01-01,m,BLUU,191.0
1956-02-01,m,BBFW,189.0
1956-02-01,m,BLUU,277.0
1956-03-01,m,BBFW,384.0
1956-03-01,m,BLUU,287.0
1956-04-01,m,BBFW,142.0
1956-04-01,m,BLUU,253.0
1956-05-01,m,BBFW,180.0
1956-05-01,m,BLUU,263.0
1956-06-01,m,BBFW,138.0
1956-06-01,m,BLUU,225.0
1956-07-01,m,BBFW,285.0
1956-07-01,m,BLUU,164.0
1956-08-01,m,BBFW,162.0
1956-08-01,m,BLUU,207.0
1956-09-01,m,BBFW,225.0
1956-09-01,m,BLUU,282.0
1956-10-01,m,BBFW,196.0
1956-10-01,m,BLUU,347.0
1956-11-01,m,BBFW,32.0
1956-11-01,m,BLUU,229.0
1956-12-01,m,BBFW,67.0
1956-12-01,m,BLUU,143.0
1957-01-01,a,BBFW,8412.0
