LOCATION,INDICATOR,SUBJECT,Subject,MEASURE,FREQUENCY,TIME_PERIOD,OBS_VALUE
AUT,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,9.1731501
AUT,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,11.393416
AUT,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,10.286999
BEL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,13.748137
BEL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,16.179018
BEL,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,14.955427
BRA,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,19.952234
BRA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,11.941059
BRA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,27.904659
CAN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,13.628266
CAN,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,13.399941
CAN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,13.176266
COL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,12.836459
COL,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,22.773855
COL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,32.689209
CZE,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,18.287283
CZE,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,13.418057
CZE,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,8.795188
DEU,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,8.0421515
DEU,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,9.9439726
DEU,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,11.917185
DNK,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,13.945628
DNK,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,12.681904
DNK,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,13.28861
ESP,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,25.432079
ESP,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,25.629156
ESP,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,25.820322
EST,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,19.826927
EST,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,15.942339
EST,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,12.201926
FIN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,12.47495
FIN,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,11.927396
FIN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,11.386334
FRA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,15.024765
FRA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,18.136087
FRA,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,16.582481
GBR,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,16.287668
GBR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,19.086235
GBR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,13.586856
GRC,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,26.7388
GRC,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,23.561468
GRC,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,29.990019
HUN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,22.577391
HUN,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,18.879009
HUN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,15.276824
IRL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,21.748468
IRL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,20.435951
IRL,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,21.089144
ISL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,10.256765
ISL,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,9.830204
ISL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,9.380415
ISR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,18.809095
ISR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,12.515013
ISR,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,15.659012
ITA,NEET,15_29,15-29 year-olds,PC_AGE,A,2012,24.617849
ITA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2012,22.576872
ITA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2012,26.7318
